Game,Top_Positive_Words,Top_Negative_Words
No Man's Sky,"['game', 'play', 'good', 'space', 'like', 'great', 'fun', 'love', 'exploration', 'time']","['game', 'bug', 'like', 'feel', 'time', 'thing', 'new', 'base', 'play', 'launch']"
The Binding of Isaac: Rebirth,"['game', 'good', 'play', 'fun', 'like', 'isaac', 'good game', 'hour', 'time', 'item']","['game', 'like', 'time', 'item', 'good', 'play', 'shit', 'feel', 'trash', 'fix']"
Pathfinder: Kingmaker — Enhanced Plus Edition,"['game', 'good', 'enjoy', 'great', 'pathfinder', 'good game', 'like', 'fun', 'play', 'story']","['game', 'nah', 'play', 'like', 'pathfinder', 'fun', 'encounter', 'combat', 'balancing', 'bad combat']"
MONSTER HUNTER RISE,"['good', 'game', 'monster', 'hunter', 'fun', 'yes', 'world', 'monster hunter', 'good game', 'play']","['play', 'game', 'bad', 'monster', 'fun', 'remove', 'mid', 'drm', 'world', 'monster hunter']"
Artifact,"['valve murder', 'valve', 'murder great', 'murder', 'great game', 'great', 'game']",[]
Assassin's Creed® Origins,"['good', 'game', 'great', 'good game', 'nice', 'ac', 'like', 'love', 'fun', 'play']","['game', 'ubisoft', 'play', 'connect', 'ubisoft connect', 'good', 'play game', 'try', 'time', 'buy']"
Titanfall® 2,"['game', 'play', 'good', 'campaign', 'story', 'fun', 'great', 'multiplayer', 'amazing', 'titanfall']","['game', 'play', 'ea', 'campaign', 'time', 'fuck', 'try', 'want', 'good', 'multiplayer']"
FINAL FANTASY X/X-2 HD Remaster,"['game', 'good', 'great', 'great game', 'play', 'fantasy', 'final', 'final fantasy', 'ha', 'time']","['game', 'play', 'crash', 'work', 'english', 'play english', 'game crash', 'blitzball quit', 'quit', 'quit game']"
Ravenfield,"['fun', 'game', 'good', 'mod', 'good game', 'great', 'yes', 'love', 'play', 'great game']","['game', 'booooooooooooooooooooooooo', 'mod', 'year', 'dalet', 'dalet mad', 'mad', 'buy', 'weapon', 'dead']"
Mass Effect™ Legendary Edition,"['game', 'good', 'play', 'mass', 'time', 'story', 'great', 'effect', 'mass effect', 'trilogy']","['game', 'ea', 'play', 'app', 'launcher', 'time', 'hate', 'ea app', 'ea launcher', 'work']"
